Year,Region and country of birth,Total Permanent Residents,Percentage,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,Cameroon,1458,0.13,7,0,20,4,80,8,10,11,20,24,128,0,0,57,14,3,7,12,7,0,384,50,46,57,0,15,0,4,6,0,37,0,79,15,6,27,11,0,27,0,14,0,13,161,0,0,70,5,0,10,0
2005,Canada,21878,1.95,196,82,769,82,2670,432,335,63,29,2181,791,127,94,802,209,139,141,168,124,182,224,695,946,433,50,151,81,56,248,197,578,86,1361,742,72,580,143,247,650,50,261,29,278,1929,170,123,372,1145,18,303,28
2005,Cape Verde,1225,0.11,0,0,0,0,4,0,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,0,229,0,0,0,0,0,0,4,0,0,0,0
2005,Cayman Islands,37,0.0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2005,Central African Republic,24,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Chad,31,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2005,Chile,2404,0.21,13,10,37,0,315,24,39,10,12,651,51,3,11,44,10,12,5,11,10,8,64,61,14,21,4,11,3,4,28,6,152,3,207,38,0,18,3,19,52,3,12,5,16,144,72,3,71,39,3,22,3
2005,"China, People's Republic",69967,6.23,328,92,543,202,17668,765,894,279,113,1891,1376,625,126,2571,541,249,278,393,285,124,1600,3000,1293,675,147,530,41,141,518,221,2539,176,14505,1112,43,1271,257,823,2359,209,315,51,637,4139,217,50,1327,1508,101,593,28
2005,Colombia,25571,2.28,92,20,174,23,1264,148,550,44,32,9821,815,30,20,527,50,30,46,42,83,11,273,845,116,157,40,95,4,23,91,62,2558,24,3568,394,5,160,57,25,436,250,227,8,95,1372,106,0,313,108,5,108,0
2005,Comoros,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"Congo, Democratic Republic",260,0.02,0,0,5,0,15,6,5,0,0,15,10,0,0,10,0,0,0,5,0,12,21,12,4,7,0,6,0,0,0,5,0,0,18,19,0,9,0,5,7,0,0,0,15,18,0,5,9,0,0,3,0
2005,"Congo, Republic",1064,0.09,6,0,31,0,53,11,21,0,3,28,72,0,6,92,15,10,0,38,4,25,61,37,27,4,0,33,0,6,5,7,27,0,83,59,3,30,0,3,28,4,0,3,25,121,26,10,29,7,0,4,0
2005,Cook Islands,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Costa Rica,2278,0.2,16,0,28,6,259,22,61,4,0,548,73,0,7,42,21,5,0,10,16,0,46,48,20,21,4,12,0,0,34,4,268,5,165,74,0,29,10,10,83,3,22,0,22,130,15,0,46,30,0,19,0
2005,Cote d'Ivoire,930,0.08,3,0,8,0,49,13,8,9,17,23,77,0,3,41,16,3,0,0,6,0,93,45,19,34,0,9,0,0,3,3,43,0,167,17,0,15,0,0,58,16,0,4,0,42,6,0,36,20,0,9,0
2005,Croatia,1780,0.16,0,0,80,0,95,15,13,21,7,203,46,3,31,118,57,58,6,14,3,9,29,26,43,19,0,54,0,12,28,27,67,0,139,18,11,125,0,4,49,0,4,18,7,88,40,9,37,35,0,103,0
2005,Cuba,36261,3.23,22,0,311,6,428,18,32,3,8,30624,193,3,8,184,25,6,12,318,70,5,34,41,240,19,20,41,0,18,416,0,637,128,629,103,0,30,4,118,201,3,10,0,114,794,21,0,143,33,0,11,0
2005,Cyprus,196,0.02,0,0,3,0,27,5,5,0,0,10,4,0,0,9,0,0,0,4,0,0,5,7,0,0,0,0,0,0,0,0,15,0,45,0,0,3,0,0,4,0,0,0,3,11,0,0,11,6,0,0,0
2005,Czech Republic,476,0.04,9,0,0,0,111,3,8,0,0,83,15,0,0,27,0,5,3,0,0,0,6,15,17,3,0,0,0,0,6,4,10,0,25,14,0,13,0,0,21,0,4,0,0,16,3,0,10,11,0,13,0
2005,Czechoslovakia (former),784,0.07,10,0,5,0,97,26,9,3,4,89,33,0,0,109,6,0,0,6,0,4,4,20,12,12,5,18,0,0,7,0,43,0,57,13,0,18,0,8,26,0,9,0,18,29,9,0,16,26,0,10,0
2005,Denmark,718,0.06,5,0,13,0,136,15,17,0,3,55,54,3,0,30,4,4,5,0,0,0,33,29,4,9,0,0,0,0,7,18,21,5,62,18,0,8,3,9,14,0,3,0,6,53,3,0,11,31,0,7,0
2005,Djibouti,50,0.0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Dominica,198,0.02,0,0,0,0,5,0,7,0,0,28,5,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,23,0,53,0,0,0,0,0,3,0,0,0,0,15,0,0,6,0,0,0,0
