State and area,Year,Unemployeement,gdp per capita,Birth Rate
Nebraska,2011,0.044,102387.3351,2.11
Nevada,2011,0.135,96185.701,1.91
New Hampshire,2011,0.055,91891.38826,1.67
New Jersey,2011,0.094,111419.3386,1.88
New Mexico,2011,0.071,94862.18959,2
New York,2011,0.083,134540.8244,1.79
North Carolina,2011,0.103,95311.79987,1.86
North Dakota,2011,0.034,109642.6195,2.08
Ohio,2011,0.09,93712.78819,1.88
Oklahoma,2011,0.055,94525.46655,2.04
Oregon,2011,0.097,87169.95041,1.76
Pennsylvania,2011,0.078,100076.8899,1.8
Rhode Island,2011,0.11,91386.30977,1.6
South Carolina,2011,0.107,80600.26146,1.84
South Dakota,2011,0.046,96778.29084,2.25
Tennessee,2011,0.092,88716.01601,1.87
Texas,2011,0.083,108313.0913,2.07
Utah,2011,0.077,95063.18359,2.38
Vermont,2011,0.057,81192.29984,1.63
Virginia,2011,0.066,105850.2485,1.85
Washington,2011,0.086,112862.3647,1.89
West Virginia,2011,0.078,87564.80746,1.84
Wisconsin,2011,0.076,88950.51943,1.87
Wyoming,2011,0.06,131769.0524,1.98
Alabama,2011,0.097,85221.40299,1.84
Alaska,2011,0.077,151757.2227,2.28
Arizona,2011,0.095,87305.70407,2
Arkansas,2011,0.08,79665.85844,2
California,2011,0.12,112163.0019,1.9
Colorado,2011,0.087,99588.59774,1.85
Connecticut,2011,0.09,124790.4965,1.71
Delaware,2011,0.076,141880.1357,1.9
District of Columbia,2011,0.105,317358.7759,1.64
Florida,2011,0.1,83446.29077,1.8
Georgia,2011,0.102,93143.3473,1.93
Hawaii,2011,0.07,106879.1746,2.11
Idaho,2011,0.082,76304.78826,2.15
Illinois,2011,0.1,108282.4373,1.84
Indiana,2011,0.091,93675.80378,1.95
Iowa,2011,0.057,91420.23687,1.97
Kansas,2011,0.063,93294.94041,2.09
Kentucky,2011,0.095,85331.93432,1.94
Louisiana,2011,0.074,113336.8865,1.91
Maine,2011,0.078,77042.39917,1.67
Maryland,2011,0.074,107484.605,1.85
Massachusetts,2011,0.072,124907.9708,1.67
Michigan,2011,0.102,88869.2751,1.84
Minnesota,2011,0.067,99405.5627,1.95
Mississippi,2011,0.099,73148.92366,1.94
Missouri,2011,0.087,88586.27828,1.92
Montana,2011,0.067,83715.90446,1.96
Nebraska,2011,0.044,102276.4795,2.11
Nevada,2011,0.134,96062.33642,1.91
New Hampshire,2011,0.055,91834.55423,1.67
New Jersey,2011,0.094,111310.4665,1.88
New Mexico,2011,0.072,94776.58612,2
New York,2011,0.083,134480.5718,1.79
North Carolina,2011,0.103,95201.65418,1.86
North Dakota,2011,0.034,109401.8154,2.08
Ohio,2011,0.09,93767.6373,1.88
Oklahoma,2011,0.056,94357.46156,2.04
Oregon,2011,0.097,87154.43527,1.76
Pennsylvania,2011,0.078,99948.46594,1.8
Rhode Island,2011,0.11,91480.37741,1.6
South Carolina,2011,0.106,80529.26633,1.84
South Dakota,2011,0.045,96748.92856,2.25
Tennessee,2011,0.092,88779.90208,1.87
Texas,2011,0.083,107992.392,2.07
Utah,2011,0.074,95319.32355,2.38
Vermont,2011,0.056,81257.10669,1.63
Virginia,2011,0.066,105689.7746,1.85
Washington,2011,0.086,112883.4263,1.89
West Virginia,2011,0.078,87460.42539,1.84
Wisconsin,2011,0.076,88890.29357,1.87
Wyoming,2011,0.06,131602.478,1.98
Alabama,2011,0.096,85299.48013,1.84
Alaska,2011,0.077,151445.4082,2.28
Arizona,2011,0.094,87322.40688,2
Arkansas,2011,0.08,79483.75419,2
California,2011,0.119,111989.2444,1.9
Colorado,2011,0.086,99340.66754,1.85
Connecticut,2011,0.09,124670.3617,1.71
Delaware,2011,0.076,141666.1038,1.9
District of Columbia,2011,0.104,316810.3448,1.64
Florida,2011,0.099,83361.66508,1.8
