State and area,Year,Unemployeement,gdp per capita,Birth Rate
North Dakota,2016,0.032,128456.2821,2.17
Ohio,2016,0.05,101510.6307,1.85
Oklahoma,2016,0.048,105592.5598,1.98
Oregon,2016,0.049,96923.70852,1.65
Pennsylvania,2016,0.054,106416.5185,1.72
Rhode Island,2016,0.053,95564.33476,1.54
South Carolina,2016,0.05,86600.074,1.75
South Dakota,2016,0.03,101200.5429,2.26
Tennessee,2016,0.047,98968.96426,1.82
Texas,2016,0.047,121398.5266,2.02
Utah,2016,0.034,98743.76605,2.24
Vermont,2016,0.031,85029.15928,1.54
Virginia,2016,0.04,108324.3822,1.79
Washington,2016,0.053,125572.781,1.81
West Virginia,2016,0.062,89232.42025,1.74
Wisconsin,2016,0.039,93810.60189,1.84
Wyoming,2016,0.056,126826.8302,1.93
Alabama,2016,0.059,90051.51395,1.82
Alaska,2016,0.066,149840.4824,2.14
Arizona,2016,0.055,89435.57143,1.87
Arkansas,2016,0.04,83907.86642,1.95
California,2016,0.055,127595.394,1.77
Colorado,2016,0.032,110105.6927,1.71
Connecticut,2016,0.048,128482.7434,1.63
Delaware,2016,0.045,134469.6137,1.78
District of Columbia,2016,0.062,302940.6775,1.49
Florida,2016,0.049,89496.21102,1.75
Georgia,2016,0.054,102447.9176,1.82
Hawaii,2016,0.029,113705.9504,1.94
Idaho,2016,0.037,80439.74728,2.07
Illinois,2016,0.058,114253.2005,1.78
Indiana,2016,0.044,95741.27091,1.9
Iowa,2016,0.036,100000.8217,1.99
Kansas,2016,0.041,103090.0459,2
Kentucky,2016,0.049,91254.86781,1.93
Louisiana,2016,0.061,107507.0466,1.93
Maine,2016,0.038,79961.26084,1.64
Maryland,2016,0.042,114213.5949,1.79
Massachusetts,2016,0.039,131300.3443,1.54
Michigan,2016,0.05,93159.22337,1.79
Minnesota,2016,0.039,107259.001,1.93
Mississippi,2016,0.059,79670.74297,1.87
Missouri,2016,0.047,90674.59873,1.86
Montana,2016,0.043,85187.69865,1.89
Nebraska,2016,0.031,110820.5294,2.14
Nevada,2016,0.057,99050.44473,1.83
New Hampshire,2016,0.029,97618.97496,1.55
New Jersey,2016,0.05,119077.2798,1.79
New Mexico,2016,0.069,94271.57188,1.83
New York,2016,0.049,147447.6156,1.69
North Carolina,2016,0.05,99697.87328,1.79
North Dakota,2016,0.031,128425.1407,2.17
Ohio,2016,0.05,101560.3466,1.85
Oklahoma,2016,0.048,105659.2609,1.98
Oregon,2016,0.049,96784.61682,1.65
Pennsylvania,2016,0.054,106467.6246,1.72
Rhode Island,2016,0.053,95554.3233,1.54
South Carolina,2016,0.049,86651.31203,1.75
South Dakota,2016,0.031,101194.0974,2.26
Tennessee,2016,0.048,98719.37333,1.82
Texas,2016,0.047,121200.1609,2.02
Utah,2016,0.033,98506.57932,2.24
Vermont,2016,0.031,85013.18209,1.54
Virginia,2016,0.04,108141.8023,1.79
Washington,2016,0.053,125379.3209,1.81
West Virginia,2016,0.061,89346.06775,1.74
Wisconsin,2016,0.039,93792.87898,1.84
Wyoming,2016,0.054,127190.9461,1.93
Alabama,2016,0.059,89915.2329,1.82
Alaska,2016,0.067,149875.6714,2.14
Arizona,2016,0.054,89273.54327,1.87
Arkansas,2016,0.04,83922.66188,1.95
California,2016,0.055,127475.0409,1.77
Colorado,2016,0.031,109884.4666,1.71
Connecticut,2016,0.047,128384.0926,1.63
Delaware,2016,0.045,134441.4925,1.78
District of Columbia,2016,0.062,302504.8545,1.49
Florida,2016,0.049,89285.25345,1.75
Georgia,2016,0.054,101637.0094,1.82
Hawaii,2016,0.029,113530.4424,1.94
Idaho,2016,0.037,80328.23689,2.07
Illinois,2016,0.058,114433.3686,1.78
Indiana,2016,0.043,95820.29402,1.9
Iowa,2016,0.036,100084.1136,1.99
Kansas,2016,0.041,103169.9033,2
Kentucky,2016,0.05,91052.86818,1.93
Louisiana,2016,0.061,107679.4024,1.93
Maine,2016,0.037,79867.93462,1.64
Maryland,2016,0.042,114045.7479,1.79
Massachusetts,2016,0.039,131102.9829,1.54
Michigan,2016,0.05,93053.0309,1.79
Minnesota,2016,0.039,107202.7206,1.93
Mississippi,2016,0.059,79583.26489,1.87
Missouri,2016,0.047,90696.10786,1.86
Montana,2016,0.043,85182.1465,1.89
Nebraska,2016,0.031,110924.5593,2.14
Nevada,2016,0.057,98908.05259,1.83
New Hampshire,2016,0.029,97608.35504,1.55
New Jersey,2016,0.05,119116.3814,1.79
New Mexico,2016,0.069,94212.79393,1.83
New York,2016,0.05,147437.7005,1.69
North Carolina,2016,0.051,99557.44587,1.79
North Dakota,2016,0.031,128460.0201,2.17
Ohio,2016,0.05,101570.6631,1.85
Oklahoma,2016,0.048,105700.4565,1.98
Oregon,2016,0.048,96651.72418,1.65
Pennsylvania,2016,0.054,106550.882,1.72
Rhode Island,2016,0.052,95563.64425,1.54
South Carolina,2016,0.048,86683.2907,1.75
South Dakota,2016,0.031,101197.8757,2.26
Tennessee,2016,0.048,98489.55032,1.82
Texas,2016,0.047,121017.9993,2.02
Utah,2016,0.033,98267.72292,2.24
Vermont,2016,0.031,84995.73693,1.54
Virginia,2016,0.041,107944.0273,1.79
Washington,2016,0.052,125203.4204,1.81
West Virginia,2016,0.061,89418.64356,1.74
Wisconsin,2016,0.039,93785.82786,1.84
Wyoming,2016,0.053,127507.7546,1.93
Alabama,2016,0.059,89789.19732,1.82
Alaska,2016,0.067,149863.2498,2.14
Arizona,2016,0.054,89114.6639,1.87
Arkansas,2016,0.039,83949.14442,1.95
California,2016,0.055,127373.9498,1.77
Colorado,2016,0.03,109677.9673,1.71
Connecticut,2016,0.047,128269.0898,1.63
Delaware,2016,0.046,134369.8079,1.78
District of Columbia,2016,0.063,301918.5929,1.49
Florida,2016,0.049,89092.80673,1.75
Georgia,2016,0.054,101204.4704,1.82
Hawaii,2016,0.028,113408.8572,1.94
Idaho,2016,0.036,80217.72314,2.07
Illinois,2016,0.057,114592.6347,1.78
Indiana,2016,0.042,95930.04583,1.9
Iowa,2016,0.036,100205.3046,1.99
Kansas,2016,0.041,103250.9942,2
Kentucky,2016,0.05,90873.37449,1.93
Louisiana,2016,0.061,107878.0337,1.93
Maine,2016,0.037,79780.20937,1.64
Maryland,2016,0.043,113853.1888,1.79
Massachusetts,2016,0.039,130920.6355,1.54
Michigan,2016,0.051,92951.37781,1.79
Minnesota,2016,0.04,107137.5716,1.93
Mississippi,2016,0.059,79500.5975,1.87
Missouri,2016,0.047,90762.96915,1.86
Montana,2016,0.043,85167.94281,1.89
Nebraska,2016,0.031,111026.1575,2.14
Nevada,2016,0.056,98754.8591,1.83
New Hampshire,2016,0.029,97624.80395,1.55
New Jersey,2016,0.049,119151.4222,1.79
New Mexico,2016,0.069,94187.51208,1.83
New York,2016,0.05,147418.0136,1.69
North Carolina,2016,0.051,99392.65735,1.79
North Dakota,2016,0.03,128557.284,2.17
Ohio,2016,0.051,101519.8782,1.85
Oklahoma,2016,0.047,105738.6721,1.98
Oregon,2016,0.047,96552.08216,1.65
Pennsylvania,2016,0.054,106670.144,1.72
Rhode Island,2016,0.051,95562.6085,1.54
South Carolina,2016,0.047,86690.50149,1.75
South Dakota,2016,0.032,101214.9929,2.26
Tennessee,2016,0.049,98309.53967,1.82
Texas,2016,0.048,120856.2084,2.02
Utah,2016,0.033,98029.69732,2.24
Vermont,2016,0.031,84980.26342,1.54
Virginia,2016,0.041,107744.7029,1.79
Washington,2016,0.051,125037.8035,1.81
West Virginia,2016,0.06,89461.6055,1.74
Wisconsin,2016,0.039,93796.01316,1.84
Wyoming,2016,0.052,127746.6122,1.93
Alabama,2016,0.059,89692.49022,1.82
Alaska,2016,0.067,149806.1373,2.14
Arizona,2016,0.054,88961.07644,1.87
Arkansas,2016,0.039,83995.27891,1.95
California,2016,0.055,127303.3428,1.77
Colorado,2016,0.03,109498.0241,1.71
Connecticut,2016,0.047,128141.1979,1.63
Delaware,2016,0.046,134263.2827,1.78
District of Columbia,2016,0.063,301261.759,1.49
Florida,2016,0.049,88936.27462,1.75
Georgia,2016,0.054,100045.4809,1.82
Hawaii,2016,0.028,113348.9932,1.94
Idaho,2016,0.036,80105.16104,2.07
Illinois,2016,0.057,114759.269,1.78
Indiana,2016,0.041,96075.76242,1.9
Iowa,2016,0.035,100386.7849,1.99
Kansas,2016,0.041,103339.8553,2
Kentucky,2016,0.051,90717.82453,1.93
Louisiana,2016,0.061,108082.3595,1.93
Maine,2016,0.037,79707.65225,1.64
Maryland,2016,0.043,113667.4859,1.79
Massachusetts,2016,0.039,130766.5242,1.54
Michigan,2016,0.051,92871.27912,1.79
Minnesota,2016,0.04,107074.6601,1.93
Mississippi,2016,0.059,79440.40791,1.87
Missouri,2016,0.046,90875.02833,1.86
Montana,2016,0.043,85156.02842,1.89
Nebraska,2016,0.032,111127.7226,2.14
Nevada,2016,0.056,98599.50208,1.83
New Hampshire,2016,0.029,97669.12702,1.55
New Jersey,2016,0.049,119215.1109,1.79
New Mexico,2016,0.069,94198.26019,1.83
New York,2016,0.05,147420.2593,1.69
North Carolina,2016,0.051,99224.54008,1.79
North Dakota,2016,0.03,128702.5182,2.17
Ohio,2016,0.052,101424.8724,1.85
Oklahoma,2016,0.047,105804.862,1.98
Oregon,2016,0.045,96508.66208,1.65
Pennsylvania,2016,0.053,106820.0493,1.72
Rhode Island,2016,0.05,95544.48651,1.54
South Carolina,2016,0.046,86683.89788,1.75
South Dakota,2016,0.032,101247.4647,2.26
Tennessee,2016,0.049,98195.02723,1.82
Texas,2016,0.048,120719.4666,2.02
Utah,2016,0.032,97794.89037,2.24
Vermont,2016,0.031,84969.45987,1.54
Virginia,2016,0.041,107563.7181,1.79
Washington,2016,0.051,124894.1668,1.81
West Virginia,2016,0.059,89497.17171,1.74
Wisconsin,2016,0.038,93832.13156,1.84
Wyoming,2016,0.052,127911.3466,1.93
Alabama,2016,0.058,89625.29535,1.82
Alaska,2016,0.067,149729.2284,2.14
Arizona,2016,0.053,88803.25219,1.87
Arkansas,2016,0.039,84037.39429,1.95
California,2016,0.054,127248.4915,1.77
Colorado,2016,0.029,109322.4923,1.71
Connecticut,2016,0.046,127991.1343,1.63
Delaware,2016,0.047,134114.9448,1.78
District of Columbia,2016,0.063,300665.9446,1.49
Florida,2016,0.048,88804.9133,1.75
Georgia,2016,0.054,100032.8629,1.82
Hawaii,2016,0.027,113316.4271,1.94
Idaho,2016,0.036,79983.33859,2.07
Illinois,2016,0.056,114956.5377,1.78
Indiana,2016,0.041,96231.45423,1.9
Iowa,2016,0.035,100609.4821,1.99
Kansas,2016,0.041,103424.4151,2
Kentucky,2016,0.051,90561.9598,1.93
Louisiana,2016,0.06,108255.7968,1.93
Maine,2016,0.036,79645.72849,1.64
Maryland,2016,0.042,113489.2194,1.79
Massachusetts,2016,0.039,130623.3993,1.54
Michigan,2016,0.051,92821.0994,1.79
Minnesota,2016,0.04,107000.1611,1.93
Mississippi,2016,0.058,79397.42664,1.87
Missouri,2016,0.045,91006.73741,1.86
Montana,2016,0.042,85138.08153,1.89
Nebraska,2016,0.031,111213.8752,2.14
Nevada,2016,0.055,98431.69743,1.83
New Hampshire,2016,0.029,97714.52858,1.55
New Jersey,2016,0.048,119304.0543,1.79
New Mexico,2016,0.069,94219.06672,1.83
New York,2016,0.049,147436.7555,1.69
North Carolina,2016,0.05,99068.71463,1.79
North Dakota,2016,0.03,128833.9798,2.17
Ohio,2016,0.053,101313.5536,1.85
Oklahoma,2016,0.046,105888.2098,1.98
Oregon,2016,0.044,96491.36139,1.65
Pennsylvania,2016,0.053,106959.6224,1.72
Rhode Island,2016,0.049,95503.43543,1.54
South Carolina,2016,0.045,86662.46205,1.75
South Dakota,2016,0.032,101272.834,2.26
Tennessee,2016,0.048,98131.95565,1.82
Texas,2016,0.048,120583.3481,2.02
Utah,2016,0.032,97550.46391,2.24
Vermont,2016,0.031,84944.91655,1.54
Virginia,2016,0.041,107391.9901,1.79
Washington,2016,0.05,124765.3964,1.81
West Virginia,2016,0.058,89526.81275,1.74
Wisconsin,2016,0.037,93876.30735,1.84
Wyoming,2016,0.051,128043.4404,1.93
Alabama,2016,0.057,89582.44093,1.82
Alaska,2016,0.067,149662.7205,2.14
Arizona,2016,0.053,88631.15134,1.87
Arkansas,2016,0.038,84041.15106,1.95
California,2016,0.054,127180.9347,1.77
Colorado,2016,0.027,109119.9643,1.71
Connecticut,2016,0.046,127804.3504,1.63
Delaware,2016,0.047,133910.5538,1.78
District of Columbia,2016,0.063,300094.3091,1.49
Florida,2016,0.048,88669.68496,1.75
Georgia,2016,0.053,99990.80619,1.82
Hawaii,2016,0.027,113277.0738,1.94
Idaho,2016,0.035,79838.61331,2.07
Illinois,2016,0.054,115166.556,1.78
Indiana,2016,0.04,96350.1667,1.9
Iowa,2016,0.034,100826.7852,1.99
Kansas,2016,0.04,103491.6191,2
Kentucky,2016,0.051,90391.13935,1.93
Louisiana,2016,0.059,108365.185,1.93
Maine,2016,0.035,79585.38269,1.64
Maryland,2016,0.042,113308.9082,1.79
Massachusetts,2016,0.039,130454.3752,1.54
Michigan,2016,0.05,92798.87605,1.79
Minnesota,2016,0.039,106903.7178,1.93
Mississippi,2016,0.057,79365.56334,1.87
Missouri,2016,0.043,91117.37692,1.86
Montana,2016,0.042,85092.26972,1.89
Nebraska,2016,0.031,111252.66,2.14
Nevada,2016,0.054,98230.49186,1.83
New Hampshire,2016,0.029,97729.32563,1.55
New Jersey,2016,0.047,119377.4673,1.79
New Mexico,2016,0.068,94219.9629,1.83
New York,2016,0.048,147427.0897,1.69
North Carolina,2016,0.05,98927.41844,1.79
North Dakota,2016,0.029,128882.8769,2.17
Ohio,2016,0.053,101201.9177,1.85
Oklahoma,2016,0.045,105956.0411,1.98
Oregon,2016,0.043,96439.12089,1.65
Pennsylvania,2016,0.052,107048.4955,1.72
Rhode Island,2016,0.048,95434.17711,1.54
South Carolina,2016,0.045,86618.67489,1.75
South Dakota,2016,0.032,101261.7056,2.26
Tennessee,2016,0.047,98085.96143,1.82
Texas,2016,0.048,120417.3546,2.02
Utah,2016,0.032,97282.94458,2.24
Vermont,2016,0.031,84891.95134,1.54
Virginia,2016,0.04,107201.8175,1.79
Washington,2016,0.049,124627.231,1.81
West Virginia,2016,0.056,89560.94141,1.74
Wisconsin,2016,0.036,93896.08527,1.84
Wyoming,2016,0.05,128192.5875,1.93
Alabama,2017,0.055,89567.55186,1.82
Alaska,2017,0.066,149995.8548,2.02
Arizona,2017,0.052,94645.40949,1.79
Arkansas,2017,0.038,84911.6987,1.91
California,2017,0.052,132836.4526,1.69
Colorado,2017,0.026,113298.0987,1.63
Connecticut,2017,0.046,128387.028,1.59
Delaware,2017,0.047,128149.1909,1.75
District of Columbia,2017,0.063,309570.4292,1.42
Florida,2017,0.047,92229.53193,1.71
Georgia,2017,0.052,103243.7689,1.79
Hawaii,2017,0.026,113220.3244,1.89
Idaho,2017,0.035,80953.08927,2.01
Illinois,2017,0.053,114685.9978,1.73
Indiana,2017,0.038,97877.28206,1.87
Iowa,2017,0.033,100727.3055,1.94
Kansas,2017,0.039,104469.3192,1.93
Kentucky,2017,0.051,90947.4955,1.9
Louisiana,2017,0.058,110673.0542,1.88
Maine,2017,0.035,80384.74624,1.58
Maryland,2017,0.041,113670.251,1.75
Massachusetts,2017,0.038,130857.4565,1.51
Michigan,2017,0.048,93452.44343,1.76
Minnesota,2017,0.038,107270.6011,1.87
Mississippi,2017,0.056,79433.12323,1.85
Missouri,2017,0.042,91987.8463,1.81
Montana,2017,0.042,87532.91459,1.8
Nebraska,2017,0.031,112088.9729,2.06
Nevada,2017,0.054,102265.4584,1.77
New Hampshire,2017,0.029,97853.31137,1.52
New Jersey,2017,0.046,116638.8149,1.76
New Mexico,2017,0.067,93799.58163,1.76
New York,2017,0.047,145001.526,1.65
North Carolina,2017,0.049,102538.2297,1.77
North Dakota,2017,0.029,130302.2433,2.07
Ohio,2017,0.053,102434.8191,1.83
Oklahoma,2017,0.044,106823.724,1.9
Oregon,2017,0.041,100158.0412,1.56
Pennsylvania,2017,0.052,107065.9695,1.69
Rhode Island,2017,0.046,93047.70717,1.51
South Carolina,2017,0.044,89847.06083,1.73
South Dakota,2017,0.031,100893.5341,2.23
Tennessee,2017,0.046,100564.1055,1.8
Texas,2017,0.048,123992.0774,1.92
Utah,2017,0.032,100934.1534,2.12
Vermont,2017,0.031,83244.46389,1.52
Virginia,2017,0.04,108221.6719,1.75
Washington,2017,0.048,130838.6582,1.71
West Virginia,2017,0.054,91306.14306,1.73
Wisconsin,2017,0.035,93337.8757,1.79
Wyoming,2017,0.048,127024.3645,1.86
Alabama,2017,0.052,89546.33772,1.82
Alaska,2017,0.066,149972.6462,2.02
Arizona,2017,0.052,94441.44266,1.79
Arkansas,2017,0.037,84793.05987,1.91
California,2017,0.051,132700.8678,1.69
Colorado,2017,0.025,112970.5819,1.63
Connecticut,2017,0.045,128170.5406,1.59
Delaware,2017,0.046,127869.0157,1.75
District of Columbia,2017,0.062,308962.9376,1.42
Florida,2017,0.046,92022.35709,1.71
Georgia,2017,0.051,103121.2872,1.79
Hawaii,2017,0.026,113092.8438,1.89
Idaho,2017,0.034,80740.62191,2.01
Illinois,2017,0.051,114792.1711,1.73
Indiana,2017,0.037,97846.93014,1.87
Iowa,2017,0.032,100774.4098,1.94
Kansas,2017,0.038,104490.8685,1.93
Kentucky,2017,0.05,90757.61274,1.9
Louisiana,2017,0.057,110650.4883,1.88
Maine,2017,0.034,80303.01307,1.58
Maryland,2017,0.04,113486.0532,1.75
Massachusetts,2017,0.038,130565.6846,1.51
Michigan,2017,0.047,93462.10122,1.76
Minnesota,2017,0.037,107082.4185,1.87
Mississippi,2017,0.055,79420.66116,1.85
Missouri,2017,0.041,92024.17434,1.81
Montana,2017,0.041,87395.30463,1.8
Nebraska,2017,0.03,112024.9481,2.06
Nevada,2017,0.053,101942.9245,1.77
New Hampshire,2017,0.029,97780.87678,1.52
New Jersey,2017,0.045,116578.5895,1.76
New Mexico,2017,0.066,93715.2964,1.76
New York,2017,0.046,144802.1709,1.65
North Carolina,2017,0.047,102431.2941,1.77
North Dakota,2017,0.028,130123.8873,2.07
Ohio,2017,0.052,102287.81,1.83
Oklahoma,2017,0.043,106795.4998,1.9
Oregon,2017,0.04,99919.68465,1.56
Pennsylvania,2017,0.051,107011.6399,1.69
Rhode Island,2017,0.045,92962.50752,1.51
South Carolina,2017,0.043,89776.08334,1.73
South Dakota,2017,0.031,100819.0926,2.23
Tennessee,2017,0.044,100458.3498,1.8
Texas,2017,0.047,123774.2905,1.92
Utah,2017,0.032,100604.1778,2.12
Vermont,2017,0.031,83155.03347,1.52
Virginia,2017,0.04,107946.392,1.75
Washington,2017,0.047,130539.1677,1.71
West Virginia,2017,0.052,91353.9066,1.73
Wisconsin,2017,0.034,93237.7989,1.79
Wyoming,2017,0.046,127233.2691,1.86
Alabama,2017,0.05,89531.23743,1.82
Alaska,2017,0.065,149974.7181,2.02
Arizona,2017,0.051,94228.5549,1.79
Arkansas,2017,0.037,84646.42244,1.91
California,2017,0.05,132548.2457,1.69
Colorado,2017,0.024,112587.4446,1.63
Connecticut,2017,0.045,128020.9592,1.59
Delaware,2017,0.046,127618.1193,1.75
District of Columbia,2017,0.062,308394.0497,1.42
Florida,2017,0.045,91794.26215,1.71
Georgia,2017,0.05,102982.3084,1.79
Hawaii,2017,0.025,112985.5354,1.89
Idaho,2017,0.033,80514.3508,2.01
Illinois,2017,0.05,114857.5672,1.73
Indiana,2017,0.035,97770.30907,1.87
Iowa,2017,0.032,100738.35,1.94
Kansas,2017,0.037,104474.5126,1.93
Kentucky,2017,0.05,90592.35181,1.9
Louisiana,2017,0.055,110639.6809,1.88
Maine,2017,0.034,80225.3209,1.58
Maryland,2017,0.04,113308.5163,1.75
Massachusetts,2017,0.038,130276.4062,1.51
Michigan,2017,0.045,93467.50357,1.76
Minnesota,2017,0.036,106897.6514,1.87
Mississippi,2017,0.054,79407.70475,1.85
Missouri,2017,0.039,92039.80393,1.81
Montana,2017,0.041,87237.59537,1.8
Nebraska,2017,0.03,111914.4522,2.06
Nevada,2017,0.052,101637.8245,1.77
New Hampshire,2017,0.028,97696.1611,1.52
New Jersey,2017,0.045,116484.7963,1.76
New Mexico,2017,0.065,93640.1309,1.76
New York,2017,0.046,144548.1734,1.65
North Carolina,2017,0.046,102318.1333,1.77
North Dakota,2017,0.027,129953.1865,2.07
Ohio,2017,0.051,102148.1823,1.83
Oklahoma,2017,0.042,106716.9035,1.9
Oregon,2017,0.039,99588.99503,1.56
Pennsylvania,2017,0.051,106955.5544,1.69
Rhode Island,2017,0.045,92893.83773,1.51
South Carolina,2017,0.042,89691.66999,1.73
South Dakota,2017,0.031,100716.3885,2.23
Tennessee,2017,0.042,100327.9112,1.8
Texas,2017,0.046,123571.0223,1.92
Utah,2017,0.032,100277.0024,2.12
Vermont,2017,0.031,83079.13345,1.52
Virginia,2017,0.039,107699.3308,1.75
Washington,2017,0.046,130220.7074,1.71
West Virginia,2017,0.051,91377.04725,1.73
Wisconsin,2017,0.033,93102.38042,1.79
Wyoming,2017,0.044,127434.6382,1.86
Alabama,2017,0.048,89504.83433,1.82
Alaska,2017,0.065,150017.4122,2.02
Arizona,2017,0.05,94019.47799,1.79
Arkansas,2017,0.037,84495.02345,1.91
California,2017,0.05,132388.3505,1.69
Colorado,2017,0.024,112166.917,1.63
Connecticut,2017,0.045,127960.482,1.59
Delaware,2017,0.046,127381.1082,1.75
District of Columbia,2017,0.062,307748.0205,1.42
Florida,2017,0.044,91583.20008,1.71
Georgia,2017,0.049,102820.9924,1.79
Hawaii,2017,0.025,112942.8629,1.89
Idaho,2017,0.032,80279.42676,2.01
Illinois,2017,0.049,114876.3682,1.73
Indiana,2017,0.034,97661.25119,1.87
Iowa,2017,0.031,100646.6238,1.94
Kansas,2017,0.036,104417.9034,1.93
Kentucky,2017,0.05,90465.75212,1.9
Louisiana,2017,0.054,110639.2088,1.88
Maine,2017,0.034,80153.92215,1.58
Maryland,2017,0.039,113125.8725,1.75
Massachusetts,2017,0.038,130007.7632,1.51
Michigan,2017,0.043,93436.66317,1.76
Minnesota,2017,0.035,106733.4847,1.87
Mississippi,2017,0.054,79391.51518,1.85
Missouri,2017,0.038,92038.80998,1.81
Montana,2017,0.041,87078.14518,1.8
Nebraska,2017,0.029,111768.2655,2.06
Nevada,2017,0.051,101359.1139,1.77
New Hampshire,2017,0.028,97613.78182,1.52
New Jersey,2017,0.044,116373.0381,1.76
New Mexico,2017,0.064,93593.63214,1.76
New York,2017,0.046,144279.2803,1.65
North Carolina,2017,0.045,102166.6359,1.77
North Dakota,2017,0.026,129857.2668,2.07
Ohio,2017,0.051,102024.6786,1.83
Oklahoma,2017,0.041,106575.6862,1.9
Oregon,2017,0.039,99217.50427,1.56
Pennsylvania,2017,0.05,106933.0544,1.69
Rhode Island,2017,0.044,92841.46131,1.51
South Carolina,2017,0.042,89597.38507,1.73
South Dakota,2017,0.03,100603.0584,2.23
Tennessee,2017,0.039,100172.6997,1.8
Texas,2017,0.045,123394.9689,1.92
Utah,2017,0.032,99964.34419,2.12
Vermont,2017,0.031,83015.28813,1.52
Virginia,2017,0.038,107492.9655,1.75
Washington,2017,0.046,129888.4996,1.71
West Virginia,2017,0.05,91343.85926,1.73
Wisconsin,2017,0.033,92956.07586,1.79
Wyoming,2017,0.042,127584.1316,1.86
Alabama,2017,0.046,89467.27034,1.82
Alaska,2017,0.065,150106.6092,2.02
Arizona,2017,0.05,93835.16003,1.79
Arkansas,2017,0.037,84360.41432,1.91
California,2017,0.049,132241.8061,1.69
Colorado,2017,0.024,111738.2781,1.63
Connecticut,2017,0.044,127993.366,1.59
Delaware,2017,0.045,127143.3687,1.75
District of Columbia,2017,0.062,307098.4444,1.42
Florida,2017,0.043,91433.17342,1.71
Georgia,2017,0.048,102640.9697,1.79
Hawaii,2017,0.024,113003.4868,1.89
Idaho,2017,0.032,80040.8927,2.01
Illinois,2017,0.049,114855.6051,1.73
Indiana,2017,0.034,97541.69113,1.87
Iowa,2017,0.031,100548.0239,1.94
Kansas,2017,0.036,104342.2397,1.93
Kentucky,2017,0.049,90386.01588,1.9
Louisiana,2017,0.052,110665.2863,1.88
Maine,2017,0.034,80095.82666,1.58
Maryland,2017,0.039,112933.0539,1.75
Massachusetts,2017,0.038,129773.4246,1.51
Michigan,2017,0.043,93349.67175,1.76
Minnesota,2017,0.035,106601.5631,1.87
Mississippi,2017,0.053,79379.87523,1.85
Missouri,2017,0.037,92031.40124,1.81
Montana,2017,0.041,86940.31615,1.8
Nebraska,2017,0.029,111609.0356,2.06
Nevada,2017,0.05,101108.4115,1.77
New Hampshire,2017,0.028,97542.34439,1.52
New Jersey,2017,0.045,116275.174,1.76
New Mexico,2017,0.062,93589.59523,1.76
New York,2017,0.046,144033.0619,1.65
North Carolina,2017,0.045,101967.1063,1.77
North Dakota,2017,0.025,129866.6034,2.07
Ohio,2017,0.05,101918.7234,1.83
Oklahoma,2017,0.04,106378.6437,1.9
Oregon,2017,0.04,98873.31261,1.56
Pennsylvania,2017,0.05,106966.5198,1.69
Rhode Island,2017,0.044,92796.98777,1.51
South Carolina,2017,0.041,89497.9978,1.73
South Dakota,2017,0.03,100479.8363,2.23
Tennessee,2017,0.037,99996.99035,1.8
Texas,2017,0.044,123250.9167,1.92
Utah,2017,0.032,99682.45032,2.12
Vermont,2017,0.03,82968.1104,1.52
Virginia,2017,0.037,107324.518,1.75
Washington,2017,0.046,129559.0273,1.71
West Virginia,2017,0.05,91248.51966,1.73
Wisconsin,2017,0.032,92820.29335,1.79
Wyoming,2017,0.041,127660.53,1.86
Alabama,2017,0.044,89432.53952,1.82
Alaska,2017,0.065,150230.416,2.02
Arizona,2017,0.049,93685.60594,1.79
Arkansas,2017,0.037,84262.70081,1.91
California,2017,0.049,132129.9061,1.69
Colorado,2017,0.025,111335.5168,1.63
Connecticut,2017,0.044,128115.1707,1.59
Delaware,2017,0.045,126912.3856,1.75
District of Columbia,2017,0.061,306595.5437,1.42
Florida,2017,0.043,91357.23776,1.71
Georgia,2017,0.048,102463.6007,1.79
Hawaii,2017,0.023,113184.127,1.89
Idaho,2017,0.031,79801.67898,2.01
Illinois,2017,0.049,114809.1127,1.73
Indiana,2017,0.034,97438.25442,1.87
Iowa,2017,0.031,100489.3702,1.94
Kansas,2017,0.036,104283.466,1.93
Kentucky,2017,0.049,90356.14553,1.9
Louisiana,2017,0.051,110712.8031,1.88
Maine,2017,0.034,80063.23461,1.58
Maryland,2017,0.039,112746.3757,1.75
Massachusetts,2017,0.038,129580.7112,1.51
Michigan,2017,0.044,93219.81072,1.76
Minnesota,2017,0.035,106507.6764,1.87
Mississippi,2017,0.053,79400.6677,1.85
Missouri,2017,0.037,92029.41373,1.81
Montana,2017,0.041,86843.09448,1.8
Nebraska,2017,0.029,111464.2983,2.06
Nevada,2017,0.049,100878.8778,1.77
New Hampshire,2017,0.027,97493.62104,1.52
New Jersey,2017,0.045,116218.1625,1.76
New Mexico,2017,0.061,93636.18853,1.76
New York,2017,0.046,143844.509,1.65
North Carolina,2017,0.045,101740.5264,1.77
North Dakota,2017,0.025,129986.2307,2.07
Ohio,2017,0.05,101825.7191,1.83
Oklahoma,2017,0.04,106173.3219,1.9
Oregon,2017,0.04,98622.09117,1.56
Pennsylvania,2017,0.049,107049.3102,1.69
Rhode Island,2017,0.044,92751.90373,1.51
South Carolina,2017,0.041,89405.8561,1.73
South Dakota,2017,0.03,100372.7596,2.23
Tennessee,2017,0.036,99815.1802,1.8
Texas,2017,0.043,123138.086,1.92
Utah,2017,0.032,99448.00482,2.12
Vermont,2017,0.03,82941.04247,1.52
Virginia,2017,0.037,107201.3561,1.75
