Country,State,MAE,MAPE,pred2023,data2021,pred2021
Mexico,Florida,1013.119587,0.362346061,4076,[2796],3809
Mexico,Georgia,790.4353137,0.350836801,3282,[2253],3043
Mexico,Hawaii,12.8871662,0.195260094,68,[66],53
Mexico,Idaho,603.9965454,1.120587283,1578,[539],1142
Mexico,Illinois,2609.68595,0.45783964,8540,[5700],8309
Mexico,Indiana,540.0977289,0.441256314,6,[1224],1764
Mexico,Iowa,248.098028,0.489345223,751,[507],755
Mexico,Kansas,944.6498065,0.953228866,2691,[991],1935
Mexico,Kentucky,29.240256,0.07383903,1,[396],425
Mexico,Louisiana,562.2134943,1.85549008,7,[303],865
Mexico,Maine,5.906972341,0.310893281,12,[19],13
Mexico,Maryland,165.705558,0.451513782,19,[367],532
Mexico,Massachusetts,13.76977676,0.053371228,474,[258],271
Mexico,Michigan,304.9813861,0.235688861,1564,[1294],1598
Mexico,Minnesota,1284.734071,1.461585974,5068,[879],2163
Mexico,Mississippi,156.7622812,1.045081875,302,[150],306
Mexico,Missouri,312.8391883,0.59026262,721,[530],842
Mexico,Montana,18.27643618,0.522183891,71,[35],53
Mexico,Nebraska,274.4391759,0.506345343,862,[542],816
Mexico,Nevada,876.5379498,0.469238731,18,[1868],2744
Mexico,New Hampshire,49.24433867,0.769442792,121,[64],113
Mexico,New Jersey,47.95757382,0.053286193,915,[900],947
Mexico,New Mexico,817.4816301,0.494245242,2627,[1654],2471
Mexico,New York,121.0541955,0.057727323,2210,[2097],1975
Mexico,North Carolina,1387.464932,0.636743888,23,[2179],3566
Mexico,North Dakota,24.23995813,0.410846748,1187,[59],83
Mexico,Ohio,391.8348514,0.691066757,41190,[567],958
Mexico,Oklahoma,720.5918964,0.606558835,1879,[1188],1908
Mexico,Oregon,686.2786062,0.44592502,5,[1539],2225
Mexico,Pennsylvania,340.5321273,0.54138653,847,[629],969
Mexico,Rhode Island,57.9105109,1.034116266,90,[56],113
Mexico,South Carolina,135.1578127,0.261933746,0,[516],651
Mexico,South Dakota,100.2465081,1.518886486,836,[66],166
Mexico,Tennessee,580.7481008,0.71785921,1149,[809],1389
Mexico,Texas,21591.28114,0.854017924,62590,[25282],46873
Mexico,Utah,159.5941045,0.116152914,0,[1374],1214
Mexico,Vermont,4.180613427,0.696768904,2,[6],1
Mexico,Virginia,60.01589653,0.102416206,0,[586],525
Mexico,Washington,609.1578819,0.239920395,22,[2539],3148
Mexico,West Virginia,31.82509044,1.591254522,90,[20],51
Mexico,Wisconsin,817.43636,0.861366027,28,[949],1766
Mexico,Wyoming,47.72907252,0.691725689,117,[69],116
United Kingdom,Alabama,7.121383566,0.148362158,1037,[48],55
United Kingdom,Alaska,29.9644619,2.304958608,198,[13],42
United Kingdom,Arizona,15.83333422,0.088454381,2349,[179],194
United Kingdom,Arkansas,37.98453097,0.64380561,31,[59],21
United Kingdom,California,415.5452225,0.251693048,4274,[1651],2066
United Kingdom,Colorado,311.8785346,2.136154347,1187,[146],457
United Kingdom,Connecticut,84.76329057,0.413479466,394,[205],289
United Kingdom,Delaware,5.29311218,0.230135312,495,[23],28
United Kingdom,District of Columbia,16.55580784,0.250845573,50,[66],49
United Kingdom,Florida,346.044471,0.419956882,7548,[824],1170
United Kingdom,Georgia,426.2723791,1.533353882,12287,[278],704
United Kingdom,Hawaii,26.2816663,0.938630939,905,[28],54
United Kingdom,Idaho,3.594103544,0.163368343,18,[22],25
United Kingdom,Illinois,336.5891615,1.346356646,7961,[250],586
United Kingdom,Indiana,30.32271789,0.319186504,241,[95],64
United Kingdom,Iowa,13.95928109,0.436227534,215,[32],45
United Kingdom,Kansas,23.63557181,0.606040303,54,[39],62
United Kingdom,Kentucky,8.960129297,0.154484988,167,[58],49
United Kingdom,Louisiana,221.9843039,7.399476797,542,[30],251
United Kingdom,Maine,22.6747948,0.944783117,0,[24],1
United Kingdom,Maryland,383.3209605,2.177960003,567,[176],559
United Kingdom,Massachusetts,117.9697269,0.383018594,516,[308],190
United Kingdom,Michigan,85.5112964,0.512043691,153,[167],81
United Kingdom,Minnesota,162.2316036,2.027895045,642,[80],242
United Kingdom,Mississippi,3.637993688,0.259856692,29,[14],10
United Kingdom,Missouri,46.54294223,0.949855964,148,[49],95
United Kingdom,Montana,8.076775095,0.448709728,600,[18],26
United Kingdom,Nebraska,14.17042269,0.590434279,33,[24],38
United Kingdom,Nevada,9.127945048,0.10256118,114,[89],79
United Kingdom,New Hampshire,23.30112607,0.629760164,2,[37],13
United Kingdom,New Jersey,1691.006536,3.800014687,321,[445],2136
United Kingdom,New Mexico,1.374583182,0.04739942,50,[29],27
United Kingdom,New York,3990.952838,3.560172024,8620,[1121],5111
United Kingdom,North Carolina,44.42438896,0.180586947,295,[246],201
United Kingdom,North Dakota,6.161150419,0.560104584,13,[11],17
United Kingdom,Ohio,402.7765206,2.721462977,5910,[148],550
United Kingdom,Oklahoma,54.9203937,0.930854131,0,[59],4
United Kingdom,Oregon,96.08789561,0.701371501,56,[137],40
United Kingdom,Pennsylvania,392.692875,1.656931962,3814,[237],629
United Kingdom,Rhode Island,46.67401698,1.795154499,146,[26],72
United Kingdom,South Carolina,50.67122735,0.625570708,489,[81],131
United Kingdom,South Dakota,9.948484541,4.48E+16,11,[0],9
United Kingdom,Tennessee,286.4944879,1.922781798,5203,[149],435
United Kingdom,Texas,145.4302488,0.188625485,2154,[771],625
United Kingdom,Utah,22.49773157,0.35710685,84,[63],85
United Kingdom,Vermont,42.34311781,5.292889726,62,[8],50
United Kingdom,Virginia,10.74405596,0.045333569,89,[237],226
