Country,State,R2 Score,RMSE,MAPE
"China, People's Republic",Missouri,-0.055608120257650606,43.71903974715348,0.07892477551572026
"China, People's Republic",Montana,-0.41499212829302,10.742461036916783,0.1768659096393124
"China, People's Republic",Nebraska,-10.382540654138555,49.99099955945157,0.41143956965553263
"China, People's Republic",Nevada,-0.7096937806778085,89.17172089825819,0.1347431886670136
"China, People's Republic",New Hampshire,-0.5347360795393543,52.854145695713825,0.14489174255206408
"China, People's Republic",New Jersey,-0.10289623824665073,252.2644605069939,0.1039283938940031
"China, People's Republic",New Mexico,0.0030705162736462954,34.72522995659414,0.21046725513572162
"China, People's Republic",New York,-4.736776160360559,7571.047454553708,0.4094024952877055
"China, People's Republic",North Carolina,-1.003081712101185,169.30212355912505,0.15353579657686675
"China, People's Republic",North Dakota,-2.130532468999004,10.417539325194097,0.14459976268847516
"China, People's Republic",Ohio,-0.9557452694593673,189.05987187845886,0.10971983268122171
"China, People's Republic",Oklahoma,-0.3037013867269249,20.97788468542897,0.08986935152688104
"China, People's Republic",Oregon,-1.6461553864809453,98.74310379660338,0.09707388251374521
"China, People's Republic",Pennsylvania,-0.4171799872356985,259.0458108349844,0.1080140059741186
"China, People's Republic",Rhode Island,-0.8810974322137501,49.1204740719472,0.1878503371671502
"China, People's Republic",South Carolina,-4.096457222174398,48.45377137383982,0.13083742071232474
"China, People's Republic",South Dakota,-5.449083358394032,8.632655502817833,0.16154266349466911
"China, People's Republic",Tennessee,-0.4222299354391905,100.31956476313322,0.11030570777257494
"China, People's Republic",Texas,-6.833292772608891,662.7128756226176,0.15849660895769271
"China, People's Republic",Utah,-0.06764551326102763,25.510571416027158,0.1007263247197801
"China, People's Republic",Vermont,-0.054343948820199106,9.423332232081712,0.22592828634700124
"China, People's Republic",Virginia,-0.23886544058071113,78.20048029352269,0.05390411066842765
"China, People's Republic",Washington,-0.055700656951302774,402.3063585351196,0.1932532119877184
"China, People's Republic",West Virginia,-1.088231184102753,20.311121872113684,0.15477876864147821
"China, People's Republic",Wisconsin,-0.6698836917448712,96.89979595463035,0.12663464075948863
"China, People's Republic",Wyoming,-1.364798440674373,5.66181566639648,0.1231769177299298
Dominican Republic,Alabama,-0.012386449265682886,17.772579221117375,1.5284404790804424
Dominican Republic,Alaska,-0.18630911076678225,22.88714439298279,0.3427100505714607
Dominican Republic,Arizona,-0.9545872193715621,22.915768216183075,0.6805944370513929
Dominican Republic,Arkansas,-0.08612665425570976,7.085420776106819,inf
Dominican Republic,California,-0.07297355061031618,80.19603146264929,0.5315434215726852
Dominican Republic,Colorado,0.20592242418285356,13.824181829195531,0.9218994054172548
Dominican Republic,Connecticut,-0.0010681834044554694,338.4241068625666,0.5963674784054033
Dominican Republic,Delaware,-0.005482308807490233,15.476699583866418,0.3119813102898798
Dominican Republic,District of Columbia,-0.23684297264484688,30.429970514611227,0.6830812246275229
Dominican Republic,Florida,-0.011706705336706369,1152.2680301153814,0.35859353715912795
Dominican Republic,Georgia,0.0017324688301216806,162.8154887337244,0.7053042840901319
Dominican Republic,Hawaii,-1.21220562425836,3.0562106843064063,inf
Dominican Republic,Idaho,-2.3046602676820602,3.7353728085831044,0.4794123402566459
Dominican Republic,Illinois,-0.1672335278041832,54.95000858794493,0.5277165834253731
Dominican Republic,Indiana,-0.00837460821033753,40.0190324856097,1.0288707271281206
Dominican Republic,Iowa,-0.1312898164739036,3.979705696484936,0.36645645695700013
Dominican Republic,Kansas,0.20997105819561057,6.743185793860295,0.7117529045897294
Dominican Republic,Kentucky,-0.13604562114839447,14.484120892851482,0.4175944404048508
Dominican Republic,Louisiana,-0.025592565211773666,95.73360471742066,0.9193111088422246
Dominican Republic,Maine,-0.9252270119928598,5.108573354482192,0.8448420107575602
Dominican Republic,Maryland,-0.01348075497259238,172.66898056623756,0.6202758888693967
Dominican Republic,Massachusetts,0.0007973049362958173,1363.4623180632957,0.4017721480114785
Dominican Republic,Michigan,-0.061815015490740866,38.39931142843765,0.22614406470220216
Dominican Republic,Minnesota,-0.1332115912063263,20.494969215406943,0.5659439155723436
Dominican Republic,Mississippi,-0.20306443806741847,19.29806416444644,0.6871865799939082
Dominican Republic,Missouri,-0.4605047430819056,16.774700608369947,0.968841497697477
Dominican Republic,Montana,0.0,0.008032548170543854,inf
